epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4734.33,1.07037,0.6149,1.17217,0.95556,0.96246,0.97267,0.70093,1.07178,0.46439,1.14548,0.00604,0.00604,0.00604
82,4793.7,1.06533,0.61882,1.17613,0.95279,0.96065,0.97412,0.70269,1.07298,0.46683,1.14422,0.0059905,0.0059905,0.0059905
83,4853.2,1.05258,0.60531,1.16116,0.95469,0.96114,0.97219,0.70294,1.06546,0.46669,1.13903,0.005941,0.005941,0.005941
84,4912.66,1.05653,0.60988,1.16441,0.95505,0.96065,0.97082,0.70057,1.06584,0.46274,1.13643,0.0058915,0.0058915,0.0058915
85,4972.2,1.05037,0.6042,1.16297,0.95283,0.95721,0.96945,0.70313,1.06247,0.4634,1.136,0.005842,0.005842,0.005842
86,5031.69,1.04581,0.60046,1.15183,0.95326,0.96016,0.97086,0.70139,1.06488,0.4611,1.13197,0.0057925,0.0057925,0.0057925
87,5092.05,1.05079,0.60851,1.15614,0.95458,0.95967,0.97207,0.70502,1.06311,0.46141,1.13284,0.005743,0.005743,0.005743
88,5151.95,1.04915,0.59643,1.15633,0.95602,0.9577,0.97169,0.70459,1.06202,0.4621,1.13073,0.0056935,0.0056935,0.0056935
89,5211.69,1.043,0.60071,1.15823,0.95543,0.95957,0.97105,0.70557,1.05811,0.4619,1.12872,0.005644,0.005644,0.005644
90,5271.31,1.05032,0.60112,1.15244,0.95735,0.96311,0.97331,0.70822,1.05495,0.45291,1.12743,0.0055945,0.0055945,0.0055945
91,5330.71,1.03914,0.60045,1.14862,0.96031,0.96407,0.97441,0.71015,1.0516,0.45115,1.12525,0.005545,0.005545,0.005545
92,5390.33,1.02919,0.58814,1.15241,0.95991,0.96458,0.97447,0.71068,1.05078,0.45189,1.12466,0.0054955,0.0054955,0.0054955
93,5449.75,1.04173,0.59468,1.15796,0.95909,0.96409,0.97366,0.70837,1.05332,0.45096,1.12818,0.005446,0.005446,0.005446
94,5508.34,1.03636,0.58436,1.15343,0.95797,0.96423,0.97394,0.71031,1.05263,0.44973,1.1307,0.0053965,0.0053965,0.0053965
95,5566.94,1.02932,0.58885,1.14624,0.95798,0.96447,0.97491,0.71194,1.05122,0.44741,1.12909,0.005347,0.005347,0.005347
96,5625.51,1.03513,0.58586,1.14569,0.95983,0.96366,0.97534,0.71126,1.05312,0.44639,1.12863,0.0052975,0.0052975,0.0052975
97,5684.01,1.0321,0.58579,1.14995,0.95875,0.96458,0.97481,0.71363,1.05386,0.44596,1.13015,0.005248,0.005248,0.005248
98,5742.53,1.03735,0.58801,1.14739,0.96169,0.96508,0.97426,0.71194,1.05567,0.44823,1.13162,0.0051985,0.0051985,0.0051985
99,5801.09,1.04066,0.58405,1.15279,0.96022,0.96458,0.97462,0.71086,1.05517,0.44821,1.13113,0.005149,0.005149,0.005149
100,5859.72,1.02516,0.58238,1.14427,0.95843,0.96212,0.97398,0.71239,1.05424,0.44809,1.12828,0.0050995,0.0050995,0.0050995
101,5918.37,1.02873,0.58526,1.14914,0.95947,0.96311,0.97439,0.71358,1.05374,0.44549,1.13126,0.00505,0.00505,0.00505
102,5976.91,1.019,0.57604,1.14313,0.95833,0.9616,0.97525,0.7136,1.05012,0.44425,1.12807,0.0050005,0.0050005,0.0050005
103,6035.49,1.032,0.5798,1.14095,0.95728,0.96409,0.97588,0.71308,1.04714,0.44116,1.12679,0.004951,0.004951,0.004951
104,6094.07,1.00936,0.56879,1.13745,0.95819,0.96557,0.97594,0.71394,1.04407,0.44059,1.12704,0.0049015,0.0049015,0.0049015
105,6151.06,1.01292,0.56855,1.14165,0.95759,0.96623,0.97598,0.71564,1.04062,0.43998,1.12344,0.004852,0.004852,0.004852
106,6207.58,1.01458,0.57025,1.13612,0.95705,0.96453,0.97556,0.71646,1.03947,0.44006,1.12379,0.0048025,0.0048025,0.0048025
107,6264.09,1.00654,0.56813,1.132,0.96024,0.9636,0.97593,0.71713,1.04039,0.44277,1.12162,0.004753,0.004753,0.004753
108,6320.63,1.00615,0.56266,1.13225,0.96069,0.96212,0.97648,0.71703,1.04147,0.43952,1.12215,0.0047035,0.0047035,0.0047035
109,6377.29,1.0155,0.56807,1.13978,0.96124,0.96364,0.97481,0.71629,1.04176,0.43821,1.12377,0.004654,0.004654,0.004654
110,6433.87,0.99413,0.55754,1.12669,0.95882,0.96409,0.9749,0.71656,1.03996,0.43618,1.12239,0.0046045,0.0046045,0.0046045
111,6490.47,1.00446,0.55792,1.12651,0.95845,0.9644,0.97482,0.71653,1.03845,0.43488,1.12157,0.004555,0.004555,0.004555
112,6546.99,0.99979,0.55729,1.12222,0.95763,0.96262,0.97477,0.71775,1.03943,0.436,1.1228,0.0045055,0.0045055,0.0045055
113,6603.57,1.00577,0.5579,1.13125,0.95791,0.96278,0.97552,0.71761,1.03797,0.43691,1.12167,0.004456,0.004456,0.004456
114,6660.12,0.99529,0.55412,1.12348,0.95527,0.96557,0.97539,0.718,1.0363,0.43585,1.12041,0.0044065,0.0044065,0.0044065
115,6716.8,1.00416,0.56393,1.13582,0.95584,0.96557,0.97526,0.72012,1.0343,0.43497,1.11968,0.004357,0.004357,0.004357
116,6773.3,0.99141,0.54895,1.12244,0.95903,0.96311,0.97626,0.72066,1.03266,0.4347,1.11836,0.0043075,0.0043075,0.0043075
117,6829.9,0.9906,0.55333,1.12149,0.95896,0.96538,0.97688,0.72116,1.03347,0.43384,1.11975,0.004258,0.004258,0.004258
118,6886.46,0.98945,0.55213,1.12297,0.95986,0.96449,0.97647,0.72164,1.0334,0.43207,1.11941,0.0042085,0.0042085,0.0042085
